Country,Age_Group,Gender,Daily_Screen_Time_Hours,Peak_Viewing_Hour,Content_Category,Device_Type,Subscription_Type,Platform,Weekly_Sessions,Average_Session_Duration_Minutes,Number_of_Platforms_Used,Internet_Connection,Content_Language_Preference,Binge_Watch_Frequency
France,Children,Female,High,22,Horror,Smart TV,Standard,Disney+,16,40,3,Broadband,Korean,Daily
France,Adults,Female,Moderate,19,Thriller,Desktop,Premium,Amazon Prime Video,9,56,3,4G LTE,Chinese,2-3 Times Per Week
India,Children,Male,High,22,Documentary,Mobile,Basic,Netflix,17,61,1,4G LTE,English,2-3 Times Per Week
Ecuador,Young Adults,Female,High,23,Romance,Mobile,Free,YouTube,23,25,1,ADSL,Korean,Daily
Chile,Adults,Male,High,23,Thriller,Tablet,Premium,Instagram,14,28,4,Fiber,Portuguese,Never
Nigeria,Adults,Female,Moderate,22,Horror,Mobile,Free,TikTok,15,41,2,ADSL,German,Never
Ethiopia,Adults,Male,Moderate,18,Comedy,Smart TV,Free,Disney+,8,43,1,ADSL,English,Weekly
Belgium,Young Adults,Male,High,19,Animation,Tablet,Basic,Netflix,22,48,4,Broadband,Arabic,2-3 Times Per Week
Japan,Adults,Female,Moderate,19,Sports,Mobile,Premium,YouTube,16,25,4,Broadband,French,Daily
Kenya,Adults,Female,Moderate,21,Animation,Mobile,Free,Netflix,14,54,2,Fiber,Spanish,Never
Argentina,Young Adults,Female,High,19,Sci-Fi,Mobile,Free,Netflix,22,65,3,5G,French,2-3 Times Per Week
Kenya,Young Adults,Male,High,23,Documentary,Desktop,Standard,Netflix,24,64,1,5G,Hindi,Daily
Brazil,Children,Female,High,23,Thriller,Tablet,Standard,TikTok,20,42,2,5G,Portuguese,Multiple Times Per Week
Italy,Adults,Male,Moderate,20,Comedy,Mobile,Premium,YouTube,17,25,3,5G,English,2-3 Times Per Week
Peru,Children,Female,High,22,Comedy,Smart TV,Basic,YouTube,20,31,3,ADSL,Spanish,Weekly
Tunisia,Adults,Female,High,18,Thriller,Smart TV,Free,TikTok,16,41,2,5G,English,Daily
China,Young Adults,Female,High,18,Romance,Mobile,Premium,YouTube,23,40,2,Broadband,Chinese,Weekly
South Korea,Adults,Female,Moderate,21,Action,Desktop,Free,Disney+,14,48,3,Fiber,Japanese,Daily
Netherlands,Children,Male,High,22,Action,Desktop,Free,Amazon Prime Video,18,61,4,4G LTE,Japanese,Monthly
Netherlands,Adults,Female,Moderate,19,Sci-Fi,Mobile,Standard,Netflix,12,59,4,5G,English,2-3 Times Per Week
China,Children,Male,High,18,Drama,Smart TV,Free,Amazon Prime Video,19,45,2,5G,Arabic,Monthly
Bangladesh,Adults,Female,High,21,Documentary,Smart TV,Basic,Netflix,14,53,2,Fiber,Chinese,Daily
Chile,Adults,Male,High,19,Thriller,Tablet,Standard,TikTok,10,35,3,4G LTE,Japanese,2-3 Times Per Week
Morocco,Adults,Female,High,22,Sports,Smart TV,Free,Amazon Prime Video,16,46,3,5G,Japanese,Never
New Zealand,Adults,Male,High,20,Thriller,Tablet,Free,Netflix,22,48,3,4G LTE,French,Multiple Times Per Week
Japan,Adults,Male,Moderate,19,Horror,Smart TV,Free,Instagram,18,37,4,Broadband,Spanish,Never
Bangladesh,Young Adults,Male,High,18,Horror,Tablet,Standard,YouTube,22,37,2,ADSL,French,Weekly
Belgium,Adults,Female,High,21,Action,Tablet,Standard,YouTube,20,27,3,5G,German,2-3 Times Per Week
Morocco,Young Adults,Female,High,19,Thriller,Desktop,Basic,Amazon Prime Video,20,59,4,ADSL,Chinese,Multiple Times Per Week
Bangladesh,Children,Male,High,21,Comedy,Desktop,Standard,TikTok,18,37,1,ADSL,Portuguese,2-3 Times Per Week
Norway,Adults,Male,High,19,Comedy,Tablet,Standard,Instagram,21,15,2,4G LTE,Portuguese,Daily
Bangladesh,Children,Female,High,19,Thriller,Mobile,Standard,Amazon Prime Video,17,49,3,5G,Korean,Monthly
Kenya,Adults,Female,High,19,Comedy,Tablet,Standard,Amazon Prime Video,20,64,3,ADSL,Hindi,Monthly
Mexico,Adults,Male,High,18,Comedy,Smart TV,Basic,TikTok,22,30,4,Fiber,Korean,Never
Thailand,Adults,Female,High,21,Romance,Mobile,Free,Instagram,16,31,2,4G LTE,Korean,2-3 Times Per Week
Morocco,Adults,Female,High,20,Animation,Mobile,Premium,YouTube,21,37,3,4G LTE,Portuguese,Never
Malaysia,Adults,Male,High,19,Thriller,Tablet,Free,TikTok,11,19,5,5G,Japanese,Daily
Malaysia,Young Adults,Female,High,19,Drama,Smart TV,Premium,TikTok,23,21,4,Fiber,Spanish,Monthly
Canada,Adults,Female,High,23,Thriller,Desktop,Standard,TikTok,13,42,5,ADSL,Arabic,Weekly
Qatar,Adults,Female,Moderate,19,Action,Smart TV,Premium,TikTok,12,26,2,5G,Arabic,2-3 Times Per Week
Bangladesh,Adults,Female,Moderate,22,Sports,Tablet,Standard,Netflix,12,56,2,5G,Japanese,Multiple Times Per Week
Israel,Children,Male,High,18,Documentary,Mobile,Basic,YouTube,18,44,3,Fiber,Japanese,Never
France,Young Adults,Male,High,19,Documentary,Tablet,Free,TikTok,23,38,4,4G LTE,Korean,Daily
Argentina,Adults,Female,High,21,Horror,Desktop,Free,Amazon Prime Video,18,57,4,Broadband,Chinese,Never
New Zealand,Children,Female,High,18,Comedy,Desktop,Basic,YouTube,17,43,2,Fiber,French,Never
Israel,Adults,Male,High,20,Comedy,Tablet,Free,TikTok,18,20,4,Broadband,Portuguese,Never
Pakistan,Adults,Female,High,20,Action,Desktop,Basic,YouTube,21,40,2,ADSL,Portuguese,2-3 Times Per Week
Mexico,Adults,Male,High,21,Animation,Smart TV,Premium,Disney+,14,45,4,Fiber,French,Multiple Times Per Week
China,Adults,Male,Moderate,21,Comedy,Mobile,Premium,Netflix,8,47,4,Fiber,Arabic,Daily
Colombia,Adults,Male,High,22,Horror,Mobile,Basic,YouTube,13,44,3,5G,Japanese,Weekly
Colombia,Adults,Female,High,22,Romance,Desktop,Basic,Amazon Prime Video,17,45,4,Broadband,German,Weekly
Netherlands,Adults,Male,Moderate,20,Thriller,Mobile,Premium,YouTube,8,32,4,Broadband,Korean,Weekly
Nigeria,Adults,Male,Moderate,23,Sci-Fi,Mobile,Basic,Instagram,10,35,2,ADSL,German,Monthly
China,Children,Male,High,22,Romance,Desktop,Basic,Netflix,18,60,4,Broadband,German,Never
United States,Adults,Male,High,19,Sports,Desktop,Standard,YouTube,18,49,3,Fiber,Portuguese,2-3 Times Per Week
South Korea,Children,Male,Moderate,23,Sci-Fi,Mobile,Free,YouTube,18,31,4,Fiber,German,Monthly
Philippines,Adults,Male,High,23,Drama,Smart TV,Basic,Netflix,10,63,2,4G LTE,Korean,Daily
Japan,Adults,Female,Moderate,19,Romance,Tablet,Standard,Instagram,21,32,3,5G,German,Multiple Times Per Week
Tunisia,Adults,Female,High,19,Comedy,Smart TV,Premium,TikTok,16,39,3,5G,Korean,2-3 Times Per Week
South Africa,Adults,Female,High,21,Romance,Tablet,Standard,Disney+,13,48,3,ADSL,Chinese,2-3 Times Per Week
Sweden,Adults,Female,High,19,Drama,Desktop,Standard,Netflix,13,54,3,Fiber,English,Monthly
Morocco,Children,Female,High,22,Sci-Fi,Mobile,Standard,TikTok,18,37,3,ADSL,English,Weekly
Ghana,Adults,Female,Moderate,22,Action,Tablet,Basic,TikTok,10,42,1,Broadband,Korean,Multiple Times Per Week
Morocco,Children,Female,High,21,Action,Tablet,Standard,Disney+,20,60,2,Broadband,English,Weekly
Canada,Young Adults,Female,High,20,Documentary,Desktop,Basic,Disney+,22,41,2,5G,Portuguese,Daily
Saudi Arabia,Adults,Male,High,20,Animation,Desktop,Free,TikTok,21,34,5,Fiber,Chinese,Never
South Korea,Adults,Male,Moderate,19,Horror,Tablet,Basic,Amazon Prime Video,18,50,4,4G LTE,German,2-3 Times Per Week
Peru,Adults,Male,High,21,Sci-Fi,Desktop,Premium,YouTube,10,29,3,5G,French,Never
Indonesia,Children,Male,High,19,Sports,Smart TV,Premium,YouTube,17,42,3,Broadband,English,Multiple Times Per Week
Peru,Young Adults,Female,High,21,Romance,Tablet,Standard,Netflix,22,54,1,4G LTE,French,Weekly
India,Adults,Male,High,21,Sports,Smart TV,Basic,Instagram,22,34,3,Broadband,Japanese,Daily
Philippines,Adults,Male,High,23,Action,Smart TV,Premium,Netflix,13,53,4,ADSL,English,2-3 Times Per Week
Australia,Adults,Male,Moderate,19,Horror,Tablet,Basic,Netflix,10,67,3,Fiber,Arabic,Weekly
Germany,Adults,Female,Moderate,23,Documentary,Desktop,Free,YouTube,16,48,2,4G LTE,Chinese,Weekly
Vietnam,Adults,Female,Moderate,18,Romance,Tablet,Basic,Instagram,10,30,2,ADSL,Spanish,Daily
Pakistan,Children,Male,High,20,Romance,Smart TV,Standard,Netflix,18,59,3,5G,Chinese,Multiple Times Per Week
Japan,Adults,Female,Moderate,19,Comedy,Tablet,Premium,Instagram,17,22,3,ADSL,Korean,2-3 Times Per Week
Vietnam,Young Adults,Female,High,18,Sci-Fi,Tablet,Premium,YouTube,22,43,3,Fiber,English,Multiple Times Per Week
Colombia,Adults,Male,High,23,Sports,Smart TV,Premium,Amazon Prime Video,17,57,3,5G,Korean,Weekly
United States,Adults,Male,High,21,Sports,Tablet,Standard,Netflix,20,50,5,ADSL,Korean,Daily
Tunisia,Adults,Female,High,18,Romance,Tablet,Standard,Disney+,22,40,1,ADSL,English,Daily
Thailand,Young Adults,Female,High,20,Documentary,Tablet,Standard,Instagram,24,23,3,Fiber,German,Multiple Times Per Week
Kenya,Adults,Male,High,22,Comedy,Mobile,Premium,Amazon Prime Video,19,47,3,ADSL,French,Daily
Malaysia,Adults,Female,High,19,Sports,Tablet,Free,YouTube,10,41,5,Fiber,French,Weekly
Argentina,Adults,Male,High,18,Documentary,Mobile,Premium,Netflix,12,62,3,Fiber,Hindi,2-3 Times Per Week
Sweden,Children,Male,High,23,Horror,Desktop,Premium,Disney+,17,43,5,Fiber,English,2-3 Times Per Week
Mexico,Adults,Female,High,22,Documentary,Mobile,Standard,Disney+,14,61,4,ADSL,Japanese,Daily
New Zealand,Adults,Male,High,21,Romance,Tablet,Free,TikTok,15,25,4,Fiber,Japanese,Monthly
Canada,Adults,Female,High,21,Comedy,Smart TV,Basic,Amazon Prime Video,16,58,4,5G,Portuguese,2-3 Times Per Week
China,Adults,Female,Moderate,22,Drama,Smart TV,Free,YouTube,22,38,3,Fiber,Korean,Daily
Qatar,Adults,Male,Moderate,20,Romance,Desktop,Free,Instagram,10,24,5,Fiber,Arabic,Monthly
Turkey,Adults,Male,High,22,Romance,Desktop,Basic,Instagram,21,19,3,Broadband,Spanish,2-3 Times Per Week
South Africa,Children,Female,High,19,Sci-Fi,Mobile,Free,Netflix,17,65,2,5G,French,Weekly
Indonesia,Young Adults,Female,High,23,Sci-Fi,Smart TV,Free,Netflix,23,62,3,5G,German,Multiple Times Per Week
New Zealand,Adults,Female,High,20,Drama,Tablet,Free,Disney+,22,46,3,ADSL,Hindi,Never
Norway,Young Adults,Female,High,20,Horror,Tablet,Premium,Amazon Prime Video,24,53,2,Fiber,Portuguese,Never
Norway,Adults,Female,Moderate,19,Thriller,Tablet,Free,Netflix,9,48,2,Broadband,Hindi,Never
Argentina,Adults,Female,High,23,Documentary,Desktop,Premium,Netflix,9,48,2,Fiber,Japanese,Multiple Times Per Week
Australia,Adults,Female,High,18,Animation,Mobile,Premium,TikTok,20,24,2,4G LTE,German,2-3 Times Per Week
Qatar,Adults,Male,High,22,Thriller,Mobile,Premium,Instagram,17,24,2,ADSL,Chinese,2-3 Times Per Week
Germany,Children,Male,High,22,Sci-Fi,Desktop,Basic,Amazon Prime Video,18,63,4,Fiber,Hindi,Daily
Vietnam,Adults,Male,Moderate,19,Documentary,Desktop,Premium,Netflix,8,60,2,ADSL,Arabic,Monthly
Chile,Young Adults,Male,High,21,Action,Tablet,Standard,Instagram,24,28,4,Broadband,Portuguese,2-3 Times Per Week
Bangladesh,Children,Female,High,23,Action,Mobile,Standard,TikTok,19,19,1,4G LTE,Hindi,Monthly
United States,Children,Male,High,21,Action,Mobile,Premium,Amazon Prime Video,20,58,3,Broadband,Korean,Monthly
South Africa,Young Adults,Male,High,23,Sci-Fi,Smart TV,Basic,Instagram,21,33,3,ADSL,Spanish,Daily
Germany,Young Adults,Female,High,19,Drama,Mobile,Premium,Netflix,21,61,4,Fiber,French,Monthly
Turkey,Children,Female,High,22,Horror,Smart TV,Free,Instagram,16,34,2,ADSL,Korean,Never
Italy,Adults,Male,Moderate,18,Thriller,Mobile,Basic,Instagram,9,16,2,4G LTE,English,Never
Sweden,Adults,Female,High,19,Sci-Fi,Desktop,Premium,Instagram,14,20,4,ADSL,French,Daily
Brazil,Young Adults,Male,High,18,Thriller,Smart TV,Premium,Disney+,22,55,2,Fiber,Japanese,Never
Brazil,Adults,Female,High,23,Horror,Desktop,Basic,Netflix,8,64,3,5G,Japanese,Weekly
South Africa,Children,Male,High,20,Romance,Desktop,Free,Amazon Prime Video,17,44,4,Broadband,Spanish,Weekly
United States,Adults,Female,High,19,Documentary,Tablet,Premium,Instagram,20,30,3,5G,English,Monthly
Australia,Adults,Female,High,20,Sci-Fi,Mobile,Free,YouTube,15,34,3,5G,Chinese,Daily
Ecuador,Adults,Male,High,22,Horror,Desktop,Standard,Instagram,16,25,2,Fiber,Japanese,2-3 Times Per Week
Philippines,Adults,Female,High,22,Horror,Smart TV,Basic,Instagram,17,24,4,Fiber,Korean,Never
Ghana,Adults,Male,Moderate,18,Horror,Smart TV,Basic,Instagram,9,30,1,4G LTE,Korean,Multiple Times Per Week
Peru,Adults,Female,High,21,Animation,Mobile,Premium,YouTube,8,28,2,ADSL,Korean,Monthly
Thailand,Children,Male,High,23,Horror,Tablet,Basic,Netflix,19,65,4,4G LTE,English,Monthly
Ghana,Adults,Male,Moderate,21,Comedy,Tablet,Basic,Instagram,15,34,1,Broadband,English,Never
Belgium,Adults,Female,High,18,Horror,Smart TV,Basic,Netflix,19,60,5,Broadband,Japanese,Weekly
Tunisia,Adults,Female,Moderate,23,Romance,Mobile,Standard,Disney+,11,49,2,4G LTE,German,Daily
Mexico,Adults,Female,High,22,Horror,Mobile,Free,Disney+,14,47,4,Fiber,Chinese,Multiple Times Per Week
New Zealand,Young Adults,Female,High,19,Documentary,Smart TV,Premium,Netflix,24,57,3,Broadband,Hindi,Weekly
Philippines,Young Adults,Female,High,22,Horror,Mobile,Free,YouTube,23,40,4,Fiber,Hindi,Daily
Ghana,Adults,Female,Moderate,22,Animation,Desktop,Free,Instagram,17,38,2,5G,German,Never
South Africa,Young Adults,Female,High,18,Sci-Fi,Tablet,Free,TikTok,20,36,3,Fiber,Chinese,Multiple Times Per Week
United States,Adults,Female,High,20,Action,Desktop,Free,Disney+,20,47,2,Fiber,Portuguese,Daily
South Africa,Young Adults,Female,High,19,Horror,Mobile,Free,Netflix,24,45,3,ADSL,Korean,2-3 Times Per Week
Vietnam,Adults,Female,Moderate,21,Animation,Mobile,Premium,YouTube,9,34,4,Broadband,English,Monthly
Israel,Young Adults,Female,High,23,Comedy,Tablet,Premium,TikTok,22,22,3,5G,French,Multiple Times Per Week
Egypt,Adults,Female,Moderate,20,Sci-Fi,Desktop,Free,Instagram,12,24,2,Broadband,Chinese,2-3 Times Per Week
Ethiopia,Adults,Female,High,23,Comedy,Desktop,Premium,Amazon Prime Video,19,60,2,ADSL,Chinese,Monthly
Saudi Arabia,Children,Male,High,20,Thriller,Tablet,Free,YouTube,20,44,4,ADSL,English,Multiple Times Per Week
Belgium,Young Adults,Female,High,22,Comedy,Smart TV,Standard,Instagram,21,28,3,Broadband,Korean,Never
France,Adults,Female,High,18,Sports,Desktop,Standard,Netflix,22,60,3,ADSL,Japanese,Multiple Times Per Week
United Arab Emirates,Adults,Male,Moderate,21,Drama,Tablet,Free,TikTok,8,21,5,Broadband,Japanese,Monthly
Malaysia,Adults,Male,High,22,Thriller,Smart TV,Standard,YouTube,9,32,5,5G,English,Daily
Spain,Adults,Male,High,19,Sci-Fi,Smart TV,Basic,Instagram,20,27,4,Broadband,French,2-3 Times Per Week
Qatar,Adults,Male,High,21,Comedy,Desktop,Standard,TikTok,16,41,3,5G,Japanese,Weekly
Vietnam,Adults,Female,Moderate,18,Drama,Mobile,Basic,TikTok,11,29,4,4G LTE,Portuguese,Never
Mexico,Children,Male,High,22,Sci-Fi,Smart TV,Free,YouTube,18,33,2,5G,Spanish,Multiple Times Per Week
Philippines,Young Adults,Male,High,21,Comedy,Desktop,Free,Amazon Prime Video,20,54,4,5G,Portuguese,Multiple Times Per Week
Kenya,Adults,Female,Moderate,19,Comedy,Mobile,Basic,TikTok,11,34,2,5G,German,Never
New Zealand,Adults,Female,High,22,Romance,Desktop,Free,YouTube,16,38,2,5G,German,Monthly
New Zealand,Adults,Male,High,22,Sports,Smart TV,Standard,Instagram,20,21,3,ADSL,Portuguese,Daily
Chile,Young Adults,Female,High,21,Romance,Mobile,Free,Amazon Prime Video,21,50,3,Fiber,Spanish,Weekly
United States,Children,Male,High,20,Documentary,Desktop,Premium,TikTok,19,24,3,ADSL,Chinese,Multiple Times Per Week
Japan,Adults,Male,Moderate,20,Comedy,Desktop,Standard,TikTok,10,29,3,5G,English,Never
Turkey,Adults,Male,Moderate,19,Drama,Desktop,Free,Disney+,10,55,3,Broadband,French,Multiple Times Per Week
Canada,Adults,Female,High,19,Romance,Mobile,Free,TikTok,18,41,3,Fiber,Hindi,Monthly
Norway,Adults,Male,Moderate,19,Animation,Tablet,Premium,YouTube,13,37,4,ADSL,Korean,Never
Ecuador,Adults,Male,High,19,Action,Tablet,Premium,Disney+,20,55,1,Fiber,German,Multiple Times Per Week
Morocco,Children,Female,High,23,Comedy,Tablet,Standard,TikTok,16,41,4,4G LTE,English,Multiple Times Per Week
Bangladesh,Adults,Female,High,22,Sci-Fi,Tablet,Premium,Amazon Prime Video,15,45,2,ADSL,Spanish,2-3 Times Per Week
Philippines,Children,Female,High,23,Drama,Smart TV,Free,Netflix,19,48,3,Broadband,Japanese,Monthly
Spain,Children,Male,High,23,Horror,Desktop,Free,TikTok,20,39,2,Fiber,English,Weekly
Chile,Children,Female,High,23,Thriller,Tablet,Premium,TikTok,16,37,3,4G LTE,Arabic,2-3 Times Per Week
Chile,Adults,Female,High,21,Documentary,Smart TV,Free,Disney+,11,52,3,4G LTE,Japanese,2-3 Times Per Week
Pakistan,Adults,Female,High,18,Sci-Fi,Tablet,Basic,Disney+,15,40,3,5G,Spanish,Never
Australia,Young Adults,Female,High,23,Animation,Smart TV,Premium,Instagram,20,38,3,Broadband,German,Monthly
United Arab Emirates,Adults,Female,High,21,Animation,Desktop,Premium,YouTube,22,31,2,ADSL,English,Monthly
Peru,Adults,Female,High,22,Animation,Smart TV,Premium,Instagram,13,18,2,ADSL,German,Never
Israel,Children,Female,High,20,Documentary,Desktop,Free,Netflix,19,60,5,ADSL,French,Daily
South Africa,Adults,Female,High,23,Animation,Desktop,Basic,Amazon Prime Video,17,61,3,ADSL,Hindi,Weekly
Egypt,Children,Male,High,21,Drama,Smart TV,Premium,YouTube,20,28,1,ADSL,Chinese,Never
Netherlands,Children,Male,High,23,Thriller,Desktop,Standard,Disney+,19,41,4,Broadband,Japanese,Daily
New Zealand,Adults,Female,High,19,Action,Mobile,Free,YouTube,21,31,4,Broadband,Arabic,Daily
France,Adults,Female,High,20,Animation,Mobile,Standard,Amazon Prime Video,19,47,5,Broadband,English,Daily
Nigeria,Children,Female,High,22,Action,Smart TV,Basic,Instagram,17,15,3,ADSL,Spanish,Never
South Africa,Adults,Female,High,22,Horror,Smart TV,Standard,YouTube,13,46,2,Broadband,Spanish,Weekly
Netherlands,Adults,Female,Moderate,18,Comedy,Mobile,Standard,YouTube,8,29,2,ADSL,Japanese,Daily
Tunisia,Young Adults,Female,High,20,Sports,Tablet,Premium,Netflix,24,52,2,Broadband,Portuguese,Monthly
Canada,Children,Male,High,21,Romance,Tablet,Standard,Instagram,20,23,2,Fiber,Spanish,Daily
South Korea,Adults,Female,Moderate,22,Thriller,Smart TV,Free,TikTok,18,20,3,4G LTE,Chinese,Multiple Times Per Week
Argentina,Adults,Male,High,19,Romance,Tablet,Basic,Amazon Prime Video,14,44,4,ADSL,Japanese,Monthly
Tunisia,Adults,Female,Moderate,23,Action,Tablet,Standard,YouTube,8,25,1,ADSL,French,Monthly
United Kingdom,Adults,Male,High,20,Thriller,Mobile,Premium,YouTube,22,39,3,4G LTE,Korean,Multiple Times Per Week
Germany,Young Adults,Male,High,18,Sports,Smart TV,Free,TikTok,20,38,5,Fiber,Portuguese,Weekly
Thailand,Young Adults,Female,High,23,Drama,Mobile,Standard,Instagram,23,16,2,Broadband,Spanish,2-3 Times Per Week
Israel,Adults,Female,High,20,Sci-Fi,Tablet,Basic,YouTube,13,38,4,4G LTE,Arabic,Multiple Times Per Week
Nigeria,Young Adults,Male,High,19,Comedy,Tablet,Premium,Netflix,22,59,3,Broadband,German,Daily
Kenya,Adults,Male,High,20,Romance,Desktop,Basic,Amazon Prime Video,19,62,2,5G,Spanish,Weekly
Australia,Adults,Female,Moderate,23,Documentary,Desktop,Basic,Netflix,12,45,3,5G,Spanish,Weekly
Spain,Adults,Female,High,20,Comedy,Smart TV,Basic,Disney+,19,44,3,ADSL,Chinese,Weekly
Canada,Adults,Male,High,18,Horror,Tablet,Basic,YouTube,17,37,2,Broadband,German,Daily
Nigeria,Adults,Male,High,23,Romance,Smart TV,Basic,Netflix,21,50,3,4G LTE,Korean,Monthly
Malaysia,Children,Female,High,23,Romance,Desktop,Basic,YouTube,16,42,4,Broadband,Korean,2-3 Times Per Week
Canada,Young Adults,Male,High,18,Animation,Tablet,Basic,TikTok,23,29,4,4G LTE,Hindi,Monthly
New Zealand,Children,Male,High,22,Comedy,Smart TV,Basic,Amazon Prime Video,19,49,3,4G LTE,English,Daily
Nigeria,Children,Male,High,23,Romance,Tablet,Basic,YouTube,17,38,1,4G LTE,Spanish,Weekly
Thailand,Children,Female,High,18,Romance,Tablet,Premium,Netflix,20,49,3,ADSL,French,Never
Thailand,Adults,Female,High,20,Sports,Tablet,Premium,YouTube,14,32,2,ADSL,Korean,Daily
Pakistan,Adults,Female,High,23,Comedy,Smart TV,Free,TikTok,14,18,1,Broadband,German,Daily
France,Adults,Male,High,20,Animation,Mobile,Standard,Netflix,18,66,2,4G LTE,Portuguese,Weekly
United Arab Emirates,Adults,Female,High,21,Documentary,Mobile,Standard,Netflix,17,53,4,Fiber,English,2-3 Times Per Week
New Zealand,Children,Female,High,20,Documentary,Tablet,Basic,Amazon Prime Video,16,45,4,Broadband,Hindi,Monthly
China,Children,Male,High,23,Documentary,Tablet,Standard,Amazon Prime Video,17,63,3,Fiber,Hindi,Weekly
Argentina,Young Adults,Female,High,18,Documentary,Smart TV,Premium,TikTok,20,27,2,Fiber,Spanish,2-3 Times Per Week
Philippines,Adults,Male,High,23,Horror,Mobile,Premium,Netflix,15,67,2,5G,English,Monthly
Thailand,Young Adults,Female,High,21,Action,Tablet,Premium,YouTube,22,25,3,4G LTE,Portuguese,2-3 Times Per Week
Norway,Children,Female,High,23,Drama,Desktop,Free,YouTube,20,27,2,ADSL,French,Never
Pakistan,Adults,Female,High,19,Romance,Mobile,Basic,Netflix,16,51,2,Broadband,English,Daily
Ethiopia,Adults,Female,Moderate,21,Drama,Desktop,Standard,Disney+,14,64,2,ADSL,Hindi,2-3 Times Per Week
Morocco,Adults,Male,High,22,Drama,Desktop,Standard,TikTok,13,41,4,4G LTE,Hindi,Weekly
United Kingdom,Adults,Male,High,19,Comedy,Desktop,Free,Instagram,20,19,2,Broadband,Chinese,2-3 Times Per Week
Ghana,Adults,Male,Moderate,20,Sci-Fi,Desktop,Basic,Instagram,17,24,1,5G,English,Daily
Tunisia,Young Adults,Female,High,19,Thriller,Desktop,Standard,TikTok,22,28,1,Fiber,English,Monthly
Peru,Children,Male,High,19,Thriller,Tablet,Premium,Netflix,17,68,2,4G LTE,French,Monthly
Mexico,Adults,Female,High,19,Romance,Mobile,Standard,TikTok,10,18,4,Fiber,Portuguese,Weekly
Canada,Adults,Female,High,21,Animation,Mobile,Free,Amazon Prime Video,13,42,4,5G,English,Weekly
China,Young Adults,Male,High,21,Comedy,Smart TV,Standard,Disney+,22,64,2,4G LTE,Japanese,Weekly
United Arab Emirates,Children,Female,High,21,Sports,Smart TV,Basic,TikTok,17,32,3,Broadband,Portuguese,Never
South Africa,Adults,Male,High,19,Romance,Mobile,Standard,TikTok,11,42,2,ADSL,German,2-3 Times Per Week
Philippines,Adults,Male,High,23,Horror,Mobile,Standard,TikTok,15,25,4,ADSL,Arabic,Never
Brazil,Young Adults,Female,High,23,Thriller,Tablet,Standard,Disney+,21,42,4,5G,Japanese,Monthly
Canada,Adults,Female,High,19,Horror,Desktop,Premium,YouTube,19,26,3,4G LTE,Portuguese,Daily
South Korea,Adults,Male,Moderate,19,Animation,Smart TV,Basic,TikTok,17,23,3,5G,German,2-3 Times Per Week
Chile,Children,Female,High,22,Drama,Mobile,Basic,YouTube,17,32,2,Broadband,Portuguese,Weekly
Argentina,Adults,Female,High,22,Action,Mobile,Standard,TikTok,20,27,3,5G,German,Weekly
Malaysia,Children,Female,High,18,Comedy,Desktop,Premium,Disney+,17,61,3,5G,Arabic,Monthly
United Kingdom,Adults,Male,Moderate,20,Sports,Smart TV,Standard,YouTube,9,44,3,4G LTE,English,Never
Chile,Young Adults,Female,High,18,Horror,Mobile,Standard,Netflix,21,64,3,5G,English,Never
Australia,Adults,Female,High,18,Drama,Mobile,Premium,YouTube,18,36,3,Fiber,French,Weekly
Turkey,Children,Male,High,19,Thriller,Mobile,Basic,Amazon Prime Video,20,60,4,5G,Hindi,Never
Ethiopia,Adults,Female,High,23,Animation,Smart TV,Basic,YouTube,21,25,2,ADSL,Arabic,Monthly
South Korea,Young Adults,Male,High,21,Comedy,Smart TV,Standard,YouTube,24,35,3,4G LTE,Spanish,Multiple Times Per Week
Ghana,Adults,Female,Moderate,18,Documentary,Tablet,Premium,TikTok,16,39,2,ADSL,French,Monthly
Qatar,Adults,Female,High,18,Action,Mobile,Premium,Netflix,19,55,5,ADSL,French,Multiple Times Per Week
Turkey,Young Adults,Male,High,21,Documentary,Tablet,Standard,Netflix,20,45,2,5G,German,Daily
Morocco,Children,Female,High,22,Horror,Smart TV,Basic,Disney+,16,46,2,5G,English,Multiple Times Per Week
Ethiopia,Children,Female,High,20,Drama,Mobile,Basic,Instagram,18,19,3,Fiber,Chinese,Monthly
Spain,Children,Female,High,19,Thriller,Desktop,Free,YouTube,18,40,3,Broadband,Korean,Never
Mexico,Adults,Male,High,20,Comedy,Desktop,Free,Disney+,10,52,3,Broadband,French,Never
Tunisia,Adults,Female,High,23,Romance,Desktop,Basic,YouTube,22,38,3,ADSL,Arabic,Monthly
Brazil,Adults,Male,High,22,Comedy,Tablet,Basic,Instagram,12,35,3,ADSL,Hindi,Monthly
Saudi Arabia,Young Adults,Male,High,20,Horror,Desktop,Standard,Instagram,20,32,2,Broadband,Hindi,Never
Vietnam,Adults,Male,High,18,Sci-Fi,Tablet,Standard,Instagram,14,25,3,Fiber,Spanish,Daily
Malaysia,Young Adults,Male,High,23,Comedy,Smart TV,Premium,YouTube,24,29,3,Broadband,Hindi,Daily
Qatar,Adults,Female,High,22,Romance,Desktop,Premium,Instagram,19,31,4,Broadband,Portuguese,Daily
Brazil,Adults,Female,High,22,Animation,Desktop,Standard,Instagram,9,27,4,5G,Korean,Multiple Times Per Week
Colombia,Adults,Male,High,21,Romance,Tablet,Premium,Amazon Prime Video,18,53,2,4G LTE,Japanese,2-3 Times Per Week
